mode,setting,seed,round,accuracy,f1_macro,f1_weighted
dirichlet_01,$\alpha=0.1$,123,7,0.7606050132443647,0.3603577888467661,0.7296368657305725
dirichlet_01,$\alpha=0.1$,123,8,0.7621346373938594,0.36002104335716145,0.7305680788834232
dirichlet_01,$\alpha=0.1$,123,9,0.7700460267857993,0.35157671469829865,0.7256635593228458
dirichlet_01,$\alpha=0.1$,123,10,0.7707439505340592,0.35119176094205296,0.7270168801119244
dirichlet_01,$\alpha=0.1$,123,11,0.770317864753232,0.35456752152782495,0.7280242151557667
dirichlet_01,$\alpha=0.1$,123,12,0.7709339038598135,0.35165792839433385,0.7255407195249843
dirichlet_01,$\alpha=0.1$,123,13,0.7711895553283098,0.351944593509997,0.7274775919974337
dirichlet_01,$\alpha=0.1$,123,14,0.771233830163636,0.3485035544692566,0.7253679258117073
dirichlet_01,$\alpha=0.1$,123,15,0.7717108558087632,0.34970592402729783,0.7272726387670269
dirichlet_01,$\alpha=0.1$,123,16,0.7712957197183931,0.3494520320503667,0.7267132515330649
dirichlet_01,$\alpha=0.1$,123,17,0.7715223307035033,0.350106154181845,0.727847696431409
dirichlet_01,$\alpha=0.1$,123,18,0.7712714399699884,0.35238063328043906,0.7308338129337486
dirichlet_01,$\alpha=0.1$,123,19,0.7709443774767724,0.34939109107359995,0.7261761039724025
dirichlet_01,$\alpha=0.1$,123,20,0.7703150083122433,0.3470630357038191,0.7225680965503617
dirichlet_01,$\alpha=0.1$,2026,1,0.6969820748806483,0.276211918078374,0.6525053097332011
dirichlet_01,$\alpha=0.1$,2026,2,0.7760640718756725,0.3781816565990485,0.7331968661171381
dirichlet_01,$\alpha=0.1$,2026,3,0.7674423808245212,0.3541746506569703,0.7125339127203884
dirichlet_01,$\alpha=0.1$,2026,4,0.7626464164043502,0.3344409963856523,0.7030486898304672
dirichlet_01,$\alpha=0.1$,2026,5,0.7628268482601418,0.3341022889170533,0.7036839420467347
dirichlet_01,$\alpha=0.1$,2026,6,0.7650063127345852,0.33823469424486974,0.7101521619672193
dirichlet_01,$\alpha=0.1$,2026,7,0.7679898653473718,0.34347112620580683,0.7180349897117345
dirichlet_01,$\alpha=0.1$,2026,8,0.7653419445507675,0.3377074090559635,0.7118710660543262
dirichlet_01,$\alpha=0.1$,2026,9,0.7682821744752242,0.3430275327068944,0.7206406857096811
dirichlet_01,$\alpha=0.1$,2026,10,0.7641227203220542,0.33497367081549173,0.7077946051852938
dirichlet_01,$\alpha=0.1$,2026,11,0.7667025626084257,0.3467637504897039,0.72589517825411
dirichlet_01,$\alpha=0.1$,2026,12,0.7674618998379446,0.3451263632192028,0.7237087275324126
dirichlet_01,$\alpha=0.1$,2026,13,0.7678475193714306,0.3436058377194254,0.7202340484675629
dirichlet_01,$\alpha=0.1$,2026,14,0.7644678736081991,0.339418406205827,0.7099024427097602
dirichlet_01,$\alpha=0.1$,2026,15,0.7673957256217043,0.34366294256349356,0.7172049947904601
dirichlet_01,$\alpha=0.1$,2026,16,0.7683654873373971,0.3432780124202815,0.7210313661512712
