mode,setting,round,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
dirichlet_01,$\alpha=0.1$,19,0.7676356666647624,0.003908026973841155,0.3440706214116149,0.0077436315867339045,0.7150295190594914,0.011104833220429872
dirichlet_01,$\alpha=0.1$,20,0.7668899768755232,0.002978142611302118,0.3418022019846754,0.006343506181455157,0.7126688411902342,0.008573993345915422
dirichlet_03,$\alpha=0.3$,1,0.639423678118456,0.0029004734928654075,0.24390088497664317,0.008308610706990396,0.5170125235222046,0.006582719878286512
dirichlet_03,$\alpha=0.3$,2,0.6996060333111801,0.043882643783092645,0.33816714693396893,0.06400106564700014,0.6241653256021708,0.06965285898161608
dirichlet_03,$\alpha=0.3$,3,0.7452749705310504,0.0014894914054325963,0.39759928862147326,0.0062680753450993845,0.7004586022508894,0.007007143644242559
dirichlet_03,$\alpha=0.3$,4,0.7782213195868698,0.005905148395562139,0.4299448839290117,0.0027805382266234357,0.7343095756996827,0.00647283537262682
dirichlet_03,$\alpha=0.3$,5,0.7882967804101467,0.0020478929461331618,0.4428924088755562,0.0051879700295981955,0.746430894113313,0.009553959225995414
dirichlet_03,$\alpha=0.3$,6,0.791478538289322,0.00256380162592028,0.45403175633182014,0.005547445270959268,0.7527906751416475,0.010558802282080917
dirichlet_03,$\alpha=0.3$,7,0.7943081604710462,0.0019222456603768805,0.4632066395428931,0.004857204293525683,0.7587042078475051,0.008420238301648751
dirichlet_03,$\alpha=0.3$,8,0.7949432425175528,0.0009338837866958068,0.46993655688349395,0.0051104484475859285,0.7604014540068461,0.007764213769011808
dirichlet_03,$\alpha=0.3$,9,0.7964934965186332,0.0010423233593326814,0.4768776619471938,0.004665642891532069,0.7644838130246613,0.007521801723588157
dirichlet_03,$\alpha=0.3$,10,0.796340042161069,0.0022057136638599594,0.4828308338917932,0.0049389667501255835,0.767740913652568,0.008324407516014895
dirichlet_03,$\alpha=0.3$,11,0.7969930563093386,0.002359736481167444,0.48824779433107884,0.002949733711519293,0.7696017342125349,0.007351700073443804
